codigo_ocorrencia;ocorrencia_classificacao;ocorrencia_cidade;ocorrencia_uf;ocorrencia_pais;ocorrencia_aerodromo;ocorrencia_dia;ocorrencia_hora;total_recomendacoes
49751;ACIDENTE;CUIABÁ;MT;BRASIL;SJCY;18/09/2013;11:30:00;0
49708;INCIDENTE;PORTO SEGURO;BA;BRASIL;SBPS;19/09/2013;12:17:00;0
49616;ACIDENTE;CALDAS NOVAS;GO;BRASIL;;20/09/2013;13:31:00;0
49709;INCIDENTE;MARINGÁ;PR;BRASIL;SBMG;20/09/2013;13:25:00;0
49671;ACIDENTE;PLANALTINA;GO;BRASIL;;21/09/2013;13:30:00;0
49710;INCIDENTE;FLORIANÓPOLIS;SC;BRASIL;SBFL;22/09/2013;21:05:00;0
49711;INCIDENTE;MARABÁ;PA;BRASIL;SBMA;23/09/2013;19:35:00;0
49953;INCIDENTE;FLORIANÓPOLIS;SC;BRASIL;;23/09/2013;10:50:00;0
49712;INCIDENTE;SÃO PAULO;SP;BRASIL;SBMT;24/09/2013;14:50:00;0
49753;INCIDENTE;BELO HORIZONTE;MG;BRASIL;SBBH;25/09/2013;16:25:00;0
49691;INCIDENTE GRAVE;TERESINA;PI;BRASIL;SBTE;26/09/2013;14:15:00;1
49954;INCIDENTE;UBERLÂNDIA;MG;BRASIL;SBUL;26/09/2013;21:27:00;0
49754;INCIDENTE;PORTO ALEGRE;RS;BRASIL;SBPA;28/09/2013;20:42:00;0
49795;ACIDENTE;SERRANO DO MARANHÃO;MA;BRASIL;;29/09/2013;11:15:00;0
49796;ACIDENTE;SANTO ANTÔNIO DO ARACANGUÁ;SP;BRASIL;;29/09/2013;17:00:00;0
49955;INCIDENTE;SÃO JOSÉ DOS CAMPOS;SP;BRASIL;SBSJ;01/10/2013;15:53:00;0
49956;INCIDENTE;CASCAVEL;PR;BRASIL;SBCA;01/10/2013;18:45:00;0
51884;INCIDENTE;ILHÉUS;BA;BRASIL;;01/10/2013;19:47:00;0
49798;INCIDENTE GRAVE;CAMPO GRANDE;MS;BRASIL;SSKG;02/10/2013;20:00:00;0
49833;INCIDENTE;MANAUS;AM;BRASIL;SBEG;02/10/2013;21:20:00;0
49951;INCIDENTE;GUARULHOS;SP;BRASIL;SBGR;02/10/2013;09:30:00;0
49831;INCIDENTE;BRASÍLIA;DF;BRASIL;;03/10/2013;16:22:00;0
49832;INCIDENTE;CARACARAÍ;RR;BRASIL;;03/10/2013;13:28:00;0
49876;ACIDENTE;SANTA RITA DO TRIVELATO;MT;BRASIL;;03/10/2013;18:09:00;1
49792;ACIDENTE;SÃO CAETANO DO SUL;SP;BRASIL;;04/10/2013;15:30:00;0
49819;INCIDENTE;BOA VISTA;RR;BRASIL;;05/10/2013;18:30:00;0
49911;ACIDENTE;ALEGRETE;RS;BRASIL;SSLT;05/10/2013;21:00:00;0
49935;INCIDENTE GRAVE;MARICÁ;RJ;BRASIL;SDMC;05/10/2013;18:29:00;0
49797;INCIDENTE GRAVE;SALVADOR;BA;BRASIL;SBSV;06/10/2013;13:45:00;0
49957;INCIDENTE;JOINVILLE;SC;BRASIL;SBJV;06/10/2013;22:30:00;0
49931;INCIDENTE GRAVE;GOIÂNIA;GO;BRASIL;SBNV;09/10/2013;16:30:00;0
49958;INCIDENTE;RIO DE JANEIRO;RJ;BRASIL;SBJR;09/10/2013;13:24:00;0
49932;INCIDENTE GRAVE;PASSO FUNDO;RS;BRASIL;SSAQ;10/10/2013;18:07:00;0
49959;INCIDENTE;BRAGANÇA PAULISTA;SP;BRASIL;SDJB;10/10/2013;16:40:00;0
49961;INCIDENTE;VITÓRIA DA CONQUISTA;BA;BRASIL;SBQV;10/10/2013;17:17:00;0
49878;ACIDENTE;QUATRO BARRAS;PR;BRASIL;;11/10/2013;18:53:00;1
49962;INCIDENTE;RIO DE JANEIRO;RJ;BRASIL;SBJR;11/10/2013;23:15:00;0
49963;INCIDENTE;TABATINGA;AM;BRASIL;SBTT;11/10/2013;14:30:00;0
49964;INCIDENTE;LONDRINA;PR;BRASIL;;11/10/2013;22:05:00;0
50093;INCIDENTE GRAVE;SÃO PAULO;SP;BRASIL;SBMT;11/10/2013;22:50:00;0
50153;INCIDENTE;RIBEIRÃO PRETO;SP;BRASIL;SBRP;11/10/2013;20:36:00;0
49880;ACIDENTE;COTEGIPE;BA;BRASIL;;12/10/2013;18:40:00;7
49933;INCIDENTE GRAVE;VENDA NOVA DO IMIGRANTE;ES;BRASIL;;12/10/2013;18:00:00;0
49934;INCIDENTE GRAVE;VARGINHA;MG;BRASIL;SBVG;12/10/2013;12:25:00;0
49965;INCIDENTE;FORTALEZA;CE;BRASIL;SBFZ;12/10/2013;10:25:00;0
49966;INCIDENTE;RIO DE JANEIRO;RJ;BRASIL;SBRJ;13/10/2013;13:50:00;0
49882;ACIDENTE;RIO CLARO;SP;BRASIL;SDRK;14/10/2013;15:30:00;1
49892;ACIDENTE;PROMISSÃO;SP;BRASIL;;14/10/2013;20:10:00;1
50095;INCIDENTE GRAVE;ITAPIPOCA;CE;BRASIL;;15/10/2013;14:30:00;2
49967;INCIDENTE;BELO HORIZONTE;MG;BRASIL;SBBH;16/10/2013;12:09:00;0
49968;INCIDENTE;CAMPINAS;SP;BRASIL;;18/10/2013;16:15:00;0
50173;INCIDENTE;LONDRINA;PR;BRASIL;SBLO;18/10/2013;18:15:00;0
50174;INCIDENTE;BELO HORIZONTE;MG;BRASIL;SBBH;18/10/2013;17:45:00;0
50091;ACIDENTE;CORUMBÁ;MS;BRASIL;;19/10/2013;11:05:00;0
50176;INCIDENTE;MARABÁ;PA;BRASIL;SBMA;19/10/2013;14:55:00;0
50192;INCIDENTE;BRAGANÇA PAULISTA;SP;BRASIL;;19/10/2013;12:00:00;0
50211;INCIDENTE;RIO DE JANEIRO;RJ;BRASIL;;19/10/2013;14:40:00;0
50053;ACIDENTE;CAMPO GRANDE;MS;BRASIL;SSAY;20/10/2013;18:40:00;0
50291;ACIDENTE;MARICÁ;RJ;BRASIL;;21/10/2013;18:40:00;2
50292;ACIDENTE;JOINVILLE;SC;BRASIL;SBJV;22/10/2013;19:40:00;1
50314;ACIDENTE;MUCUGÊ;BA;BRASIL;;22/10/2013;20:06:00;7
50213;INCIDENTE;DOURADOS;MS;BRASIL;SSDO;23/10/2013;17:30:00;0
50533;INCIDENTE;RIO DE JANEIRO;RJ;BRASIL;SBJR;23/10/2013;19:15:00;0
50214;INCIDENTE;LONDRINA;PR;BRASIL;;24/10/2013;23:00:00;0
50254;INCIDENTE;PORTO ALEGRE;RS;BRASIL;SBPA;24/10/2013;12:33:00;0
50255;INCIDENTE;VITÓRIA;ES;BRASIL;SBVT;24/10/2013;11:46:00;0
50534;INCIDENTE;SÃO PAULO;SP;BRASIL;SBMT;25/10/2013;15:00:00;0
50097;INCIDENTE GRAVE;RIO DE JANEIRO;RJ;BRASIL;SBGL;27/10/2013;18:20:00;2
50317;ACIDENTE;TANGARÁ DA SERRA;MT;BRASIL;SDVI;27/10/2013;13:00:00;0
50320;ACIDENTE;ILHÉUS;BA;BRASIL;SBIL;27/10/2013;19:46:00;4
50321;ACIDENTE;ITAITUBA;PA;BRASIL;;29/10/2013;12:25:00;0
50322;INCIDENTE GRAVE;SÃO LUÍS;MA;BRASIL;SBSL;30/10/2013;16:54:00;0
50257;INCIDENTE;TIETÊ;SP;BRASIL;SDET;31/10/2013;19:00:00;0
50517;INCIDENTE;BELO HORIZONTE;MG;BRASIL;SBPR;02/11/2013;16:15:00;0
50535;INCIDENTE;GUARULHOS;SP;BRASIL;SBGR;02/11/2013;16:00:00;0
50099;INCIDENTE GRAVE;FORTALEZA;CE;BRASIL;SBFZ;04/11/2013;14:10:00;0
